#{"t_start": 1716450003.0570242, "env_id": null}
r,l,t
754.0,844,5616.545079
-101.0,8020,5619.58912
-101.0,8020,5619.637167
831.0,382,5621.679618
549.0,1248,5637.940591
754.0,860,5639.582881
819.0,354,5642.021276
825.0,412,5645.797731
576.0,722,5654.148655
813.0,466,5662.128505
815.0,360,5693.021885
-101.0,8020,5696.969434
790.0,876,5710.309743
1097.0,952,5746.67587
133.0,74,5747.355048
775.0,432,5753.694519
-101.0,8020,5763.81766
135.0,74,5765.00812
133.0,74,5766.095525
135.0,74,5767.249999
-101.0,8020,5772.420639
811.0,490,5774.814403
816.0,400,5801.019265
791.0,594,5805.326994
815.0,348,5805.374899
827.0,380,5811.279282
-101.0,8020,5824.291998
827.0,966,5827.135489
783.0,612,5864.995881
-101.0,8020,5869.039246
823.0,518,5873.13427
797.0,506,5877.122148
804.0,434,5879.994172
803.0,454,5884.438184
-101.0,8020,5890.402764
764.0,636,5924.003331
1204.0,1180,5926.647112
624.0,292,5928.33455
386.0,210,5931.452654
787.0,504,5934.269764
-101.0,8020,5982.053972
-101.0,8020,6036.274116
-101.0,8020,6057.837156
774.0,454,6088.972471
791.0,652,6098.928316
-101.0,8020,6103.108366
1213.0,889,6116.871896
1095.0,790,6153.087682
-101.0,8020,6154.658116
-101.0,8020,6157.642748
1250.0,796,6165.852107
769.0,572,6166.834258
-101.0,8020,6202.754002
776.0,978,6204.912943
1768.0,2410,6215.696152
-101.0,8020,6256.363054
-101.0,8020,6321.699724
87.0,142,6323.992414
768.0,858,6337.689816
579.0,552,6369.394992
784.0,666,6379.007754
-101.0,8020,6387.575487
-101.0,8020,6425.771308
550.0,900,6425.866356
-101.0,8020,6427.551025
601.0,358,6430.462906
591.0,476,6431.995087
-101.0,8020,6437.688735
1235.0,956,6445.98748
763.0,714,6449.231219
115.0,100,6450.704158
-101.0,8020,6483.698539
116.0,104,6484.844921
588.0,538,6492.11155
79.0,154,6494.301023
290.0,2318,6495.490339
106.0,120,6497.27179
80.0,154,6499.685127
691.0,3008,6501.061237
808.0,544,6508.217512
641.0,3084,6546.853872
717.0,2484,6592.194847
-101.0,8020,6598.637614
788.0,1972,6646.217015
138.0,98,6647.148446
116.0,104,6648.228394
888.0,7683,6659.445004
515.0,6302,6659.594542
1215.0,1328,6668.209081
1075.0,1140,6699.809498
238.0,5504,6700.372865
413.0,298,6703.031477
811.0,614,6708.428014
-101.0,8020,6713.43236
596.0,384,6714.141664
111.0,108,6715.734512
559.0,1188,6720.386796
794.0,1108,6752.910531
104.0,118,6754.536556
950.0,6664,6764.492528
531.0,1640,6764.979426
535.0,1096,6770.483697
592.0,492,6771.801328
794.0,612,6805.670906
840.0,1148,6810.451564
872.0,636,6823.543783
776.0,708,6830.529014
82.0,174,6835.630904
786.0,976,6915.021111
587.0,470,6927.07645
119.0,96,6929.788203
-101.0,8020,6934.178634
584.0,640,6948.070997
-101.0,8020,6951.393119
860.0,712,6953.982287
131.0,102,6956.289226
1096.0,760,7014.649302
606.0,282,7021.426086
1072.0,1300,7032.268646
-101.0,8020,7040.500582
560.0,924,7048.737899
594.0,404,7053.092933
1067.0,986,7122.303932
583.0,752,7136.361341
601.0,362,7142.278561
120.0,92,7143.744552
1177.0,2115,7144.804743
-101.0,8020,7145.555265
118.0,98,7146.326872
1073.0,1026,7185.938289
-101.0,8020,7187.188431
122.0,90,7188.572319
589.0,358,7191.760738
1188.0,1674,7196.677852
590.0,458,7197.416889
760.0,716,7208.115591
1230.0,966,7269.503613
1213.0,945,7269.726167
1085.0,1078,7282.360328
569.0,778,7290.148336
854.0,804,7292.2753
788.0,472,7318.280965
759.0,724,7319.737527
106.0,116,7324.812727
766.0,636,7325.517409
-101.0,8020,7328.106651
773.0,456,7345.192899
584.0,522,7617.67294
1238.0,937,7621.107763
118.0,98,7623.364142
-101.0,8020,7632.459426
121.0,98,7638.402848
584.0,458,7650.856513
592.0,402,7674.005334
741.0,1084,7685.294271
605.0,278,7690.51309
-101.0,8020,7824.540508
583.0,458,7833.436414
-101.0,8020,7933.286773
-101.0,8020,7933.927998
127.0,84,7934.1874
595.0,404,7937.973656
130.0,76,7939.101852
1080.0,1054,7969.803806
-101.0,8020,7970.749371
611.0,502,7973.97236
120.0,90,7974.462905
1221.0,1257,7975.059006
-101.0,8020,7976.367148
-101.0,8020,7976.845651
408.0,398,7977.275277
1231.0,986,7977.534739
1238.0,1014,8001.711625
1082.0,1114,8002.791539
772.0,482,8004.773461
766.0,584,8006.262567
581.0,498,8007.661803
601.0,338,8008.352432
-101.0,8020,8008.724175
580.0,556,8011.444769
1226.0,609,8030.55052
1238.0,901,8031.061389
771.0,630,8033.570925
1234.0,752,8035.006792
1068.0,1028,8037.069572
759.0,756,8038.018076
1242.0,811,8041.760546
1217.0,972,8063.143025
768.0,572,8064.426938
795.0,498,8067.502884
-101.0,8020,8097.905194
-101.0,8020,8099.461429
-101.0,8020,8100.570003
821.0,498,8102.766341
1256.0,673,8126.448253
-101.0,8020,8160.166047
590.0,556,8163.509906
602.0,262,8165.194286
-101.0,8020,8187.805186
-101.0,8020,8192.349183
846.0,980,8194.074676
775.0,508,8197.282203
-101.0,8020,8224.911064
120.0,94,8225.498782
413.0,292,8227.422202
-101.0,8020,8227.906042
111.0,108,8228.742364
595.0,328,8230.874225
-101.0,8020,8253.865702
766.0,1102,8253.960779
589.0,518,8256.950457
768.0,612,8257.727381
592.0,544,8261.056472
1237.0,903,8262.61087
571.0,542,8264.447969
1098.0,684,8285.820193
894.0,723,8290.076196
-101.0,8020,8293.135135
1240.0,740,8294.629623
594.0,542,8296.364126
-101.0,8020,8320.665182
-101.0,8020,8324.997293
799.0,488,8328.096477
586.0,590,8351.172303
784.0,864,8356.527689
-101.0,8020,8356.976637
594.0,352,8358.74401
810.0,504,8360.123477
124.0,90,8360.674681
368.0,5034,8384.844634
595.0,374,8386.963097
-101.0,8020,8389.670573
370.0,530,8389.927548
122.0,96,8390.172433
137.0,96,8390.427822
766.0,598,8419.271415
1234.0,944,8425.19751
-101.0,8020,8426.161438
1227.0,771,8430.021461
396.0,314,8451.353755
1068.0,1038,8452.138453
-101.0,8020,8453.204941
800.0,500,8455.570616
805.0,844,8461.138792
805.0,420,8465.376271
783.0,850,8494.605699
309.0,2374,8498.098705
792.0,634,8498.836713
593.0,350,8500.418875
-101.0,8020,8500.651338
-101.0,8020,8502.524328
1091.0,602,8502.744723
596.0,404,8503.236245
592.0,464,8503.393775
591.0,348,8527.507777
795.0,586,8529.552802
761.0,914,8530.99932
374.0,424,8532.360095
587.0,340,8533.238038
395.0,394,8535.019091
-101.0,8020,8536.882848
773.0,782,8540.246148
413.0,298,8564.127168
614.0,358,8566.431972
-101.0,8020,8599.028011
819.0,434,8601.891032
804.0,630,8606.154379
1236.0,914,8633.973925
772.0,512,8637.370186
600.0,338,8639.730234
868.0,578,8643.758182
-101.0,8020,8644.843348
594.0,282,8645.627036
141.0,88,8646.245929
-101.0,8020,8646.516933
794.0,484,8670.089627
771.0,526,8671.738104
602.0,344,8672.364311
-101.0,8020,8674.354767
-101.0,8020,8677.92837
805.0,566,8678.128056
-101.0,8020,8707.12353
881.0,536,8710.804128
589.0,340,8713.12351
-101.0,8020,8785.30021
-101.0,8020,8809.816864
-101.0,8020,8810.386642
413.0,298,8811.738126
578.0,748,8815.30509
-101.0,8020,8815.83981
-101.0,8020,8816.05114
334.0,1452,8816.1551
391.0,234,8817.71586
596.0,388,8818.873545
596.0,338,8821.163128
-101.0,8020,8850.826814
610.0,250,8852.443084
139.0,96,8853.081908
-101.0,8020,8948.910659
-101.0,8020,8952.554903
-101.0,8020,8953.080324
145.0,84,8953.108001
129.0,82,8953.607426
148.0,82,8953.635992
135.0,74,8954.115485
-133.0,8020,8954.783265
145.0,82,8955.310722
-101.0,8020,8958.189054
815.0,390,8982.349085
801.0,634,8986.450148
143.0,82,8987.018451
-101.0,8020,8990.362886
122.0,92,8990.963676
-133.0,8020,9086.728695
812.0,492,9089.873288
-133.0,8020,9091.307928
-133.0,8020,9091.826362
122.0,90,9091.908731
104.0,122,9092.713147
-133.0,8020,9093.071028
-133.0,8020,9124.890546
-133.0,8020,9128.878718
614.0,4190,9163.159698
122.0,90,9163.731711
805.0,582,9167.534228
127.0,90,9168.126456
811.0,430,9192.763763
788.0,840,9198.294534
120.0,96,9198.945649
138.0,94,9199.580006
593.0,352,9201.939167
-101.0,8020,9228.473722
-101.0,8020,9230.480464
-133.0,8020,9231.417849
849.0,440,9233.552539
807.0,526,9237.178723
825.0,452,9261.804372
-101.0,8020,9263.74016
801.0,400,9266.454018
-133.0,8020,9267.731849
138.0,96,9268.356831
128.0,82,9268.882353
124.0,92,9269.487711
780.0,564,9270.137237
595.0,342,9272.379879
112.0,106,9273.090354
610.0,4746,9297.009004
798.0,974,9299.907925
751.0,2590,9307.357582
-101.0,8020,9366.164893
-101.0,8020,9369.103203
599.0,340,9371.414001
848.0,744,9376.394315
122.0,96,9377.022757
-101.0,8020,9377.714197
597.0,406,9401.092264
146.0,84,9401.647825
806.0,454,9404.793653
-101.0,8020,9435.441951
-101.0,8020,9438.198844
597.0,444,9438.3008
-101.0,8020,9445.518695
610.0,284,9447.485844
123.0,94,9468.838816
744.0,1804,9471.154015
808.0,396,9471.456637
-101.0,8020,9503.949106
372.0,1102,9511.774546
144.0,84,9512.337523
803.0,446,9515.586163
-101.0,8020,9516.169892
574.0,428,9540.681423
-101.0,8020,9543.539886
832.0,948,9543.759952
412.0,320,9545.77334
597.0,500,9547.214978
839.0,656,9550.2106
-101.0,8020,9577.511615
798.0,966,9578.099669
833.0,496,9581.785475
736.0,1196,9586.10952
854.0,420,9610.439503
812.0,1156,9611.198819
-101.0,8020,9611.535696
-101.0,8020,9611.806679
831.0,378,9613.769968
784.0,764,9616.834584
832.0,380,9619.488912
1214.0,838,9646.893556
518.0,6532,9656.706382
-101.0,8020,9681.979043
-101.0,8020,9728.158909
-101.0,8020,9750.71048
-101.0,8020,9752.473217
809.0,458,9753.719935
-101.0,8020,9763.817011
774.0,442,9788.565517
-101.0,8020,9796.353268
1229.0,1025,9796.690478
-101.0,8020,9800.828192
124.0,86,9801.336763
1245.0,649,9822.336704
130.0,76,9822.530637
-101.0,8020,9898.005045
523.0,8020,9920.586318
-101.0,8020,9922.119688
1255.0,623,9925.628434
767.0,1328,9925.789123
715.0,2414,9955.335407
-101.0,8020,9959.215884
357.0,834,9960.319667
-101.0,8020,9963.310341
-101.0,8020,9963.424942
797.0,580,9963.573474
113.0,102,9964.157806
1190.0,1328,9989.503632
856.0,550,9989.667933
768.0,548,9993.164263
184.0,4564,9995.884344
135.0,74,9996.270459
146.0,78,9996.681737
787.0,774,9998.569383
1252.0,630,10020.69143
1221.0,1355,10029.601496
796.0,1010,10030.169532
795.0,492,10034.78538
845.0,592,10035.149784
826.0,480,10060.163342
878.0,470,10060.298548
871.0,534,10063.398658
-101.0,8020,10064.042446
1237.0,813,10065.038097
804.0,456,10066.32608
1091.0,660,10068.173522
387.0,208,10069.59219
378.0,612,10070.138086
1236.0,908,10095.098208
756.0,792,10100.557204
-101.0,8020,10102.412769
-101.0,8020,10102.853926
830.0,362,10125.909312
775.0,430,10125.991032
-101.0,8020,10127.277525
392.0,718,10130.284992
1047.0,1754,10132.235089
824.0,478,10133.25146
594.0,534,10135.412627
1193.0,1768,10158.219897
1229.0,1053,10164.739703
805.0,462,10167.548887
608.0,294,10169.559833
791.0,456,10198.18406
-101.0,8020,10204.480316
-101.0,8020,10212.911294
-101.0,8020,10290.8166
-101.0,8020,10328.518195
135.0,94,10329.56553
-101.0,8020,10332.448474
1248.0,501,10337.911598
146.0,84,10360.852067
-101.0,8020,10407.401761
-101.0,8020,10413.185653
826.0,408,10417.680771
-101.0,8020,10420.9702
128.0,86,10421.87422
523.0,8020,10474.0228
601.0,374,10503.033597
-101.0,8020,10513.112917
880.0,588,10519.21998
-101.0,8020,10521.926087
-101.0,8020,10568.342271
-101.0,8020,10603.492422
-101.0,8020,10607.677377
773.0,454,10608.304909
603.0,280,10611.310827
861.0,450,10612.565082
807.0,428,10642.213792
819.0,584,10648.218891
565.0,956,10658.284207
-101.0,8020,10662.479524
805.0,482,10691.974649
-101.0,8020,10703.231512
-101.0,8020,10706.099805
793.0,668,10735.492814
-101.0,8020,10753.686107
523.0,8020,10797.776643
-101.0,8020,10844.955786
-101.0,8020,10878.887863
819.0,570,10885.248845
-101.0,8020,10892.936266
594.0,316,10896.249496
-101.0,8020,10897.28897
765.0,602,10928.184352
1096.0,684,10930.114718
-101.0,8020,10941.336771
-101.0,8020,10984.255594
819.0,640,10991.33127
1453.0,966,11025.964923
-101.0,8020,11031.194986
604.0,306,11034.639223
825.0,394,11038.978552
396.0,322,11067.294304
147.0,82,11068.210802
135.0,74,11069.034339
-101.0,8020,11071.862015
605.0,294,11072.185369
135.0,74,11072.66753
829.0,392,11076.395663
577.0,432,11081.125757
-101.0,8020,11115.344187
-101.0,8020,11117.225029
394.0,272,11120.179205
817.0,330,11123.799374
-101.0,8020,11128.513532
833.0,312,11131.94084
1087.0,756,11165.459574
